"Name","State","Notes","User","Tags","Created","Runtime","Sweep","AUG_TEST","AUG_TRAIN","AUG_TRAIN_PARAMS.n_select","BATCH_SIZE","DATASET","DATA_PATH","IMG_SIZE","INPUT_SIZE","VAL_RATIO","backbone","depth_multiple","input_channel","width_multiple","eval/F1(macro)","eval/acc","eval/best_F1","mean_time","params_num","train/F1(macro)","train/acc","train/epoch","train/loss"
"worthy-fog-16","finished","-","sangmandu","","2021-11-27T06:12:43.000Z","3946","","simple_augment_test","randaugment_train","0","32","TACO","/opt/ml/data","168","[168,168]","0.8","[[3,""DWConv"",[48,3,1,null,""ReLU""]],[5,""DWConv"",[96,1,2,null,""ReLU""]],[2,""InvertedResidualv2"",[8,5,2]],[1,""InvertedResidualv2"",[80,8,2]],[4,""InvertedResidualv2"",[96,6,1]],[2,""InvertedResidualv2"",[96,2,1]],[1,""Conv"",[768,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","0.5","3","0.75","0.5793746591982686","0.643062751871042","0.5805830923359329","2.53459837436676","235556","0.5978819704794475","66.80725971370143","20","0.8871705858741558"
"deft-lion-11","finished","-","sangmandu","","2021-11-27T01:33:23.000Z","4406","","simple_augment_test","randaugment_train","2","16","TACO","/opt/ml/data","168","[168,168]","0.8","[[1,""Conv"",[64,3,2,null,1,""Hardswish""]],[3,""DWConv"",[112,1,1,null,""Hardswish""]],[4,""InvertedResidualv3"",[5,3.1,40,1,0,1]],[3,""DWConv"",[80,5,2,null,""ReLU""]],[4,""InvertedResidualv3"",[3,4.3,40,0,1,1]],[3,""InvertedResidualv3"",[3,5.5,64,0,1,2]],[5,""InvertedResidualv3"",[3,4.4,112,1,1,1]],[1,""Conv"",[128,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","0.5","3","0.75","0.584576488667612","0.6543849549030896","0.5749643957042346","11.474463971455892","396140","0.4960011248803176","60.5017875383044","20","1.062577469843279"
"warm-hill-6","finished","-","sangmandu","","2021-11-26T21:01:46.000Z","3955","","simple_augment_test","randaugment_train","0","32","TACO","/opt/ml/data","168","[168,168]","0.8","[[1,""DWConv"",[16,3,2,null,""ReLU""]],[2,""Conv"",[32,5,1,null,1,""ReLU""]],[2,""InvertedResidualv3"",[3,3.1,40,1,1,2]],[1,""Conv"",[64,3,1,null,1,""ReLU""]],[2,""Conv"",[48,3,2,null,1,""ReLU""]],[2,""InvertedResidualv2"",[80,4,1]],[1,""Conv"",[128,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","0.75","3","1","0.5649663395447597","0.6369218959892535","0.5593938463614488","9.351285314559936","238068","0.604868634310866","67.65720858895705","20","0.883011613399217"
"swept-resonance-15","finished","-","sangmandu","","2021-11-27T05:05:43.000Z","4016","","simple_augment_test","randaugment_train","2","32","TACO","/opt/ml/data","168","[168,168]","0.8","[[2,""DWConv"",[64,3,1,null,""ReLU""]],[4,""DWConv"",[112,1,2,null,""ReLU""]],[2,""InvertedResidualv2"",[8,3,2]],[1,""InvertedResidualv2"",[96,8,2]],[2,""InvertedResidualv2"",[16,6,1]],[2,""InvertedResidualv2"",[112,2,1]],[1,""Conv"",[640,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","0.5","3","0.75","0.5223975074055168","0.6144693916714642","0.5253649940899573","0.6649173219998677","130060","0.45690719032447746","57.604805725971374","20","1.1331126130431708"
"glorious-water-4","finished","-","sangmandu","","2021-11-26T18:55:18.000Z","5408","","simple_augment_test","randaugment_train","0","16","TACO","/opt/ml/data","168","[168,168]","0.8","[[1,""DWConv"",[48,3,1,null,""ReLU""]],[5,""InvertedResidualv3"",[3,4.4,40,1,1,2]],[5,""DWConv"",[16,1,2,null,""ReLU""]],[4,""Conv"",[224,1,2,null,1,""ReLU""]],[1,""Conv"",[320,3,1,null,1,""Hardswish""]],[1,""Conv"",[640,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","1","3","1","0.4947721541061756","0.598925350220687","0.5090275272463237","15.56760098139445","1191348","0.5068653910128194","60.291113381001026","20","1.060908338053112"
"absurd-sunset-9","finished","-","sangmandu","","2021-11-26T23:50:06.000Z","3917","","simple_augment_test","randaugment_train","2","32","TACO","/opt/ml/data","168","[168,168]","0.8","[[1,""Conv"",[16,3,2,null,1,""ReLU""]],[3,""Conv"",[80,5,1,null,1,""ReLU""]],[4,""InvertedResidualv2"",[24,1,2]],[4,""InvertedResidualv2"",[16,2,1]],[1,""InvertedResidualv2"",[80,4,2]],[5,""DWConv"",[192,3,2,null,""ReLU""]],[1,""Conv"",[384,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","0.75","3","1","0.49058285958714726","0.5985415467280752","0.4922324515186776","8.80906240940094","302236","0.42074424239173475","55.598159509202446","20","1.194161744327389"
"noble-armadillo-7","finished","-","sangmandu","","2021-11-26T22:07:46.000Z","4048","","simple_augment_test","randaugment_train","2","32","TACO","/opt/ml/data","168","[168,168]","0.8","[[1,""DWConv"",[64,3,2,null,""ReLU""]],[4,""DWConv"",[128,3,1,null,""ReLU""]],[5,""InvertedResidualv2"",[8,1,2]],[3,""DWConv"",[192,5,2,null,""Hardswish""]],[2,""DWConv"",[32,1,1,null,""Hardswish""]],[1,""DWConv"",[144,1,2,null,""Hardswish""]],[1,""Conv"",[512,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","0.25","3","1","0.466735863555208","0.5755133371713682","0.4749187484055137","4.579880547523499","89564","0.3942730186694396","53.20168711656442","20","1.2411062669900297"
"golden-bird-14","finished","-","sangmandu","","2021-11-27T03:59:01.000Z","3999","","simple_augment_test","randaugment_train","6","32","TACO","/opt/ml/data","168","[168,168]","0.8","[[1,""DWConv"",[48,3,2,null,""Hardswish""]],[4,""DWConv"",[96,1,1,null,""ReLU""]],[3,""InvertedResidualv2"",[8,6,2]],[2,""DWConv"",[176,5,2,null,""Hardswish""]],[3,""DWConv"",[64,1,1,null,""Hardswish""]],[1,""Conv"",[288,1,2,null,1,""Hardswish""]],[1,""Conv"",[512,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","0.25","3","1","0.4478970930744306","0.5760890424102859","0.4432220738688708","0.9872042775154114","244380","0.3110178846126443","50.99693251533742","20","1.3030947967297215"
"atomic-plasma-5","finished","-","sangmandu","","2021-11-26T20:25:31.000Z","2170","","simple_augment_test","randaugment_train","0","16","TACO","/opt/ml/data","168","[168,168]","0.8","[[2,""Conv"",[16,3,2,null,1,""ReLU""]],[1,""InvertedResidualv2"",[16,4,1]],[5,""DWConv"",[48,1,2,null,""ReLU""]],[4,""Conv"",[160,5,1,null,1,""ReLU""]],[2,""InvertedResidualv3"",[5,3.4,112,0,1,2]],[5,""InvertedResidualv3"",[5,4.9,112,1,0,2]],[1,""Conv"",[256,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","1","3","0.75","0.32040781074462815","0.4780272500479754","0.3765807410119795","23.561215972900392","2313724","0.35022546977770147","50.300051072522976","10","1.285599076954897"
"honest-galaxy-12","finished","-","sangmandu","","2021-11-27T02:46:54.000Z","2228","","simple_augment_test","randaugment_train","6","32","TACO","/opt/ml/data","168","[168,168]","0.8","[[2,""DWConv"",[64,3,2,null,""ReLU""]],[5,""DWConv"",[80,1,2,null,""ReLU""]],[4,""InvertedResidualv2"",[32,4,2]],[5,""DWConv"",[192,5,2,null,""Hardswish""]],[2,""DWConv"",[16,3,1,null,""Hardswish""]],[1,""DWConv"",[976,1,1,null,""Hardswish""]],[1,""Conv"",[1024,1,1]],[1,""GlobalAvgPool"",[]],[1,""FixedConv"",[6,1,1,null,1,null]]]","0.25","3","1","0.3090540398005131","0.5045096910381884","0.3456594989675628","4.133913588523865","1059900","0.23649912993237085","44.86196319018405","10","1.423107379053268"
